"RM Item Desc","Date","Amount (in Rs. Crore)","Prompts_Time1","Sequence"
"RM2.1.2.1) RBI's Claims on Banks (Including NABARD)","2002/03/22 00:00:00","10904","2002 -03-22","1159"
"RM2.1.2.1) RBI's Claims on Banks (Including NABARD)","2002/03/29 00:00:00","11168","2002 -03-29","1159"
"RM2.1.2.1) RBI's Claims on Banks (Including NABARD)","2002/04/05 00:00:00","7776","2002 -04-05","1159"
"RM2.1.2.1) RBI's Claims on Banks (Including NABARD)","2002/04/12 00:00:00","8857","2002 -04-12","1159"
"RM2.1.2.1) RBI's Claims on Banks (Including NABARD)","2002/04/19 00:00:00","11292","2002 -04-19","1159"
"RM2.1.2.1) RBI's Claims on Banks (Including NABARD)","2002/04/26 00:00:00","9734","2002 -04-26","1159"
"RM2.1.2.1) RBI's Claims on Banks (Including NABARD)","2002/05/03 00:00:00","11825","2002 -05-03","1159"
"RM2.1.2.1) RBI's Claims on Banks (Including NABARD)","2002/05/10 00:00:00","10215","2002 -05-10","1159"
"RM2.1.2.1) RBI's Claims on Banks (Including NABARD)","2002/05/17 00:00:00","9696","2002 -05-17","1159"
"RM2.1.2.1) RBI's Claims on Banks (Including NABARD)","2002/05/24 00:00:00","9621","2002 -05-24","1159"
"RM2.1.2.1) RBI's Claims on Banks (Including NABARD)","2002/05/31 00:00:00","7418","2002 -05-31","1159"
"RM2.1.2.1) RBI's Claims on Banks (Including NABARD)","2002/06/07 00:00:00","6744","2002 -06-07","1159"
"RM2.1.2.1) RBI's Claims on Banks (Including NABARD)","2002/06/14 00:00:00","6821","2002 -06-14","1159"
"RM2.1.2.1) RBI's Claims on Banks (Including NABARD)","2002/06/21 00:00:00","6804","2002 -06-21","1159"
"RM2.1.2.1) RBI's Claims on Banks (Including NABARD)","2002/06/28 00:00:00","7221","2002 -06-28","1159"
"RM2.1.2.1) RBI's Claims on Banks (Including NABARD)","2002/07/05 00:00:00","6552","2002 -07-05","1159"
"RM2.1.2.1) RBI's Claims on Banks (Including NABARD)","2002/07/12 00:00:00","6731","2002 -07-12","1159"
"RM1.1) Currency in circulation -Total ","2001/12/07 00:00:00","243099","2001 -12-07","1150"
"RM1.1) Currency in circulation -Total ","2001/12/14 00:00:00","243131","2001 -12-14","1150"
"RM1.1) Currency in circulation -Total ","2001/12/21 00:00:00","241420","2001 -12-21","1150"
"RM1.1) Currency in circulation -Total ","2001/12/28 00:00:00","239470","2001 -12-28","1150"
"RM1.2) `Other' deposits with RBI ","2001/12/07 00:00:00","2494","2001 -12-07","1152"
"RM1.2) `Other' deposits with RBI ","2001/12/14 00:00:00","2826","2001 -12-14","1152"
"RM1.2) `Other' deposits with RBI ","2001/12/21 00:00:00","2470","2001 -12-21","1152"
"RM1.2) `Other' deposits with RBI ","2001/12/28 00:00:00","2519","2001 -12-28","1152"
"RM1.3) Bankers' deposits with RBI ","2001/09/21 00:00:00","71909","2001 -09-21","1153"
"RM1.1) Currency in circulation -Total ","2002/11/22 00:00:00","270898","2002 -11-22","1150"
"RM1.1) Currency in circulation -Total ","2002/11/29 00:00:00","267986","2002 -11-29","1150"
"RM1.2) `Other' deposits with RBI ","2002/01/04 00:00:00","2609","2002 -01-04","1152"
"RM1.2) `Other' deposits with RBI ","2002/01/11 00:00:00","2424","2002 -01-11","1152"
"RM1.2) `Other' deposits with RBI ","2002/01/18 00:00:00","2384","2002 -01-18","1152"
"RM1.2) `Other' deposits with RBI ","2002/01/25 00:00:00","2298","2002 -01-25","1152"
"RM1.2) `Other' deposits with RBI ","2002/02/01 00:00:00","2640","2002 -02-01","1152"
"RM1.2) `Other' deposits with RBI ","2002/02/08 00:00:00","2216","2002 -02-08","1152"
"RM1.2) `Other' deposits with RBI ","2002/02/15 00:00:00","2316","2002 -02-15","1152"
"RM1.2) `Other' deposits with RBI ","2002/02/22 00:00:00","2322","2002 -02-22","1152"
"RM1.2) `Other' deposits with RBI ","2002/03/01 00:00:00","2507","2002 -03-01","1152"
"RM1.2) `Other' deposits with RBI ","2002/03/08 00:00:00","2199","2002 -03-08","1152"
"RM1.2) `Other' deposits with RBI ","2002/03/15 00:00:00","2492","2002 -03-15","1152"
"RM1.2) `Other' deposits with RBI ","2002/03/22 00:00:00","2704","2002 -03-22","1152"
"RM1.2) `Other' deposits with RBI ","2002/03/29 00:00:00","3033","2002 -03-29","1152"
"RM1.2) `Other' deposits with RBI ","2002/04/05 00:00:00","2645","2002 -04-05","1152"
"RM1.2) `Other' deposits with RBI ","2002/04/12 00:00:00","2344","2002 -04-12","1152"
"RM1.2) `Other' deposits with RBI ","2002/04/19 00:00:00","2360","2002 -04-19","1152"
"RM1.2) `Other' deposits with RBI ","2002/04/26 00:00:00","2525","2002 -04-26","1152"
"RM1.2) `Other' deposits with RBI ","2002/05/03 00:00:00","2212","2002 -05-03","1152"
"RM1.2) `Other' deposits with RBI ","2002/05/10 00:00:00","2373","2002 -05-10","1152"
"RM1.2) `Other' deposits with RBI ","2002/05/17 00:00:00","2316","2002 -05-17","1152"
"RM1.2) `Other' deposits with RBI ","2002/05/24 00:00:00","2249","2002 -05-24","1152"
"RM1.2) `Other' deposits with RBI ","2002/05/31 00:00:00","2272","2002 -05-31","1152"
"RM1.2) `Other' deposits with RBI ","2002/06/07 00:00:00","2077","2002 -06-07","1152"
"RM1.2) `Other' deposits with RBI ","2002/06/14 00:00:00","2371","2002 -06-14","1152"
"RM1.2) `Other' deposits with RBI ","2002/06/21 00:00:00","3883","2002 -06-21","1152"
"RM1.2) `Other' deposits with RBI ","2002/06/28 00:00:00","3238","2002 -06-28","1152"
"RM1.2) `Other' deposits with RBI ","2002/07/05 00:00:00","3792","2002 -07-05","1152"
"RM1.2) `Other' deposits with RBI ","2002/07/12 00:00:00","4017","2002 -07-12","1152"
"RM1.2) `Other' deposits with RBI ","2002/07/19 00:00:00","3617","2002 -07-19","1152"
"RM1.2) `Other' deposits with RBI ","2002/07/26 00:00:00","3778","2002 -07-26","1152"
"RM1.2) `Other' deposits with RBI ","2002/08/02 00:00:00","3629","2002 -08-02","1152"
"RM1.2) `Other' deposits with RBI ","2002/08/09 00:00:00","3551","2002 -08-09","1152"
"RM1.2) `Other' deposits with RBI ","2002/08/16 00:00:00","3515","2002 -08-16","1152"
"RM1.2) `Other' deposits with RBI ","2002/08/23 00:00:00","3571","2002 -08-23","1152"
"RM1.2) `Other' deposits with RBI ","2002/08/30 00:00:00","3500","2002 -08-30","1152"
"RM1.2) `Other' deposits with RBI ","2002/09/06 00:00:00","3509","2002 -09-06","1152"
"RM1.2) `Other' deposits with RBI ","2002/09/13 00:00:00","3526","2002 -09-13","1152"
"RM1.2) `Other' deposits with RBI ","2002/09/20 00:00:00","3479","2002 -09-20","1152"
"RM1.2) `Other' deposits with RBI ","2002/09/27 00:00:00","3314","2002 -09-27","1152"
"RM1.2) `Other' deposits with RBI ","2002/10/04 00:00:00","3913","2002 -10-04","1152"
"RM1.2) `Other' deposits with RBI ","2002/10/11 00:00:00","3284","2002 -10-11","1152"
"RM1.2) `Other' deposits with RBI ","2002/10/18 00:00:00","3262","2002 -10-18","1152"
"RM1.2) `Other' deposits with RBI ","2002/10/25 00:00:00","3309","2002 -10-25","1152"
"RM1.2) `Other' deposits with RBI ","2002/11/01 00:00:00","3189","2002 -11-01","1152"
"RM1.2) `Other' deposits with RBI ","2002/11/08 00:00:00","3024","2002 -11-08","1152"
"RM1.2) `Other' deposits with RBI ","2002/11/15 00:00:00","3602","2002 -11-15","1152"
"RM1.2) `Other' deposits with RBI ","2002/11/22 00:00:00","3285","2002 -11-22","1152"
"RM1.2) `Other' deposits with RBI ","2002/11/29 00:00:00","2932","2002 -11-29","1152"
"RM1.3) Bankers' deposits with RBI ","2002/01/04 00:00:00","64947","2002 -01-04","1153"
"RM1.3) Bankers' deposits with RBI ","2002/01/11 00:00:00","65027","2002 -01-11","1153"
"RM1.3) Bankers' deposits with RBI ","2002/01/18 00:00:00","67047","2002 -01-18","1153"
"RM1.3) Bankers' deposits with RBI ","2002/01/25 00:00:00","73556","2002 -01-25","1153"
"RM1.3) Bankers' deposits with RBI ","2002/02/01 00:00:00","68254","2002 -02-01","1153"
"RM1.3) Bankers' deposits with RBI ","2002/02/08 00:00:00","75639","2002 -02-08","1153"
"RM1.3) Bankers' deposits with RBI ","2002/02/15 00:00:00","65541","2002 -02-15","1153"
